"dataset","table","variable","type","observed_generated_domain_or_distribution","observed_small_domain_values","plida_or_crosswalk_variable","plida_or_crosswalk_description","crosswalk_status","evidence_status","source_url","source_summary","current_generated_assessment","required_next_action"
"DOMINO","mcd_dtls","MAN_CODE","character","N=43; Y=5","N; Y","MAN_CODE","Manifestly disabled code","direct_plida_dataset_variable","domino_aristotle_dataset_context_public_code_table_not_found","https://www.abs.gov.au/statistics/data-integration/integrated-data/person-level-integrated-data-asset-plida/plida-data-and-legislation | https://www.dss.gov.au/doing-business-us/corporate-policies/metadata-research-datasets | https://dss.aristotlecloud.io/item/1942/dataset/domino-external-analytical-version | https://dex.dss.gov.au/policy | https://dex.dss.gov.au/sites/default/files/documents/2023-03/1931-data-exchange-protocols.pdf | https://dex.dss.gov.au/sites/default/files/documents/2025-09/2646-2536-chsp-dex-protocols.pdf","DSS confirms DOMINO as longitudinal social-security administrative data and points users to Aristotle metadata; the public dataset entry supports dataset context, but this pass did not locate public variable-level pages proving generated DOMINO code values.","Observed values are the current fplida generated domain; source equivalence depends on the evidence status.","Find a public variable/code-table source or keep this row labelled local/synthetic in future builds."
"DOMINO","mcd_dtls","MED_PRMY_GRP","character","PSY=13; MUS=12; CHR=4; SEN=3; ABI=2; EIS=2; INT=2; NER=2; RES=2; CAN=1; CFS=1; CGA=1","PSY; MUS; CHR; SEN; ABI; EIS; INT; NER; RES; CAN; CFS; CGA; CIR; GIS; VIS","MED_PRMY_GRP","Primary medical code","direct_plida_dataset_variable","domino_aristotle_dataset_context_public_code_table_not_found","https://www.abs.gov.au/statistics/data-integration/integrated-data/person-level-integrated-data-asset-plida/plida-data-and-legislation | https://www.dss.gov.au/doing-business-us/corporate-policies/metadata-research-datasets | https://dss.aristotlecloud.io/item/1942/dataset/domino-external-analytical-version | https://dex.dss.gov.au/policy | https://dex.dss.gov.au/sites/default/files/documents/2023-03/1931-data-exchange-protocols.pdf | https://dex.dss.gov.au/sites/default/files/documents/2025-09/2646-2536-chsp-dex-protocols.pdf","DSS confirms DOMINO as longitudinal social-security administrative data and points users to Aristotle metadata; the public dataset entry supports dataset context, but this pass did not locate public variable-level pages proving generated DOMINO code values.","Observed values are the current fplida generated domain; source equivalence depends on the evidence status.","Find a public variable/code-table source or keep this row labelled local/synthetic in future builds."
"DOMINO","mcd_dtls","MED_SCNDRY_GRP","character","PSY=4; MUS=2; NER=2; CGA=1; CHR=1; INT=1; RES=1; SEN=1","PSY; MUS; NER; CGA; CHR; INT; RES; SEN","MED_SCNDRY_GRP","Secondary medical code","direct_plida_dataset_variable","domino_aristotle_dataset_context_public_code_table_not_found","https://www.abs.gov.au/statistics/data-integration/integrated-data/person-level-integrated-data-asset-plida/plida-data-and-legislation | https://www.dss.gov.au/doing-business-us/corporate-policies/metadata-research-datasets | https://dss.aristotlecloud.io/item/1942/dataset/domino-external-analytical-version | https://dex.dss.gov.au/policy | https://dex.dss.gov.au/sites/default/files/documents/2023-03/1931-data-exchange-protocols.pdf | https://dex.dss.gov.au/sites/default/files/documents/2025-09/2646-2536-chsp-dex-protocols.pdf","DSS confirms DOMINO as longitudinal social-security administrative data and points users to Aristotle metadata; the public dataset entry supports dataset context, but this pass did not locate public variable-level pages proving generated DOMINO code values.","Observed values are the current fplida generated domain; source equivalence depends on the evidence status.","Find a public variable/code-table source or keep this row labelled local/synthetic in future builds."
"DOMINO","mcd_dtls","MED_SCNDRY_ID","character","S0929=1; S0975=1; S1014=1; S1860=1; S1968=1; S2341=1; S2550=1; S2650=1; S2711=1; S5223=1; S5504=1; S5986=1","S0929; S0975; S1014; S1860; S1968; S2341; S2550; S2650; S2711; S5223; S5504; S5986; S9457","MED_SCNDRY_ID","Secondary medical code identifier","direct_plida_dataset_variable","domino_aristotle_dataset_context_public_code_table_not_found","https://www.abs.gov.au/statistics/data-integration/integrated-data/person-level-integrated-data-asset-plida/plida-data-and-legislation | https://www.dss.gov.au/doing-business-us/corporate-policies/metadata-research-datasets | https://dss.aristotlecloud.io/item/1942/dataset/domino-external-analytical-version | https://dex.dss.gov.au/policy | https://dex.dss.gov.au/sites/default/files/documents/2023-03/1931-data-exchange-protocols.pdf | https://dex.dss.gov.au/sites/default/files/documents/2025-09/2646-2536-chsp-dex-protocols.pdf","DSS confirms DOMINO as longitudinal social-security administrative data and points users to Aristotle metadata; the public dataset entry supports dataset context, but this pass did not locate public variable-level pages proving generated DOMINO code values.","Observed values are the current fplida generated domain; source equivalence depends on the evidence status.","Find a public variable/code-table source or keep this row labelled local/synthetic in future builds."
"DOMINO","mcd_dtls","MED_SCNDRY_PERM","character","N=7; Y=6","N; Y","MED_SCNDRY_PERM","Secondary medical code pemanent indicator","direct_plida_dataset_variable","domino_aristotle_dataset_context_public_code_table_not_found","https://www.abs.gov.au/statistics/data-integration/integrated-data/person-level-integrated-data-asset-plida/plida-data-and-legislation | https://www.dss.gov.au/doing-business-us/corporate-policies/metadata-research-datasets | https://dss.aristotlecloud.io/item/1942/dataset/domino-external-analytical-version | https://dex.dss.gov.au/policy | https://dex.dss.gov.au/sites/default/files/documents/2023-03/1931-data-exchange-protocols.pdf | https://dex.dss.gov.au/sites/default/files/documents/2025-09/2646-2536-chsp-dex-protocols.pdf","DSS confirms DOMINO as longitudinal social-security administrative data and points users to Aristotle metadata; the public dataset entry supports dataset context, but this pass did not locate public variable-level pages proving generated DOMINO code values.","Observed values are the current fplida generated domain; source equivalence depends on the evidence status.","Find a public variable/code-table source or keep this row labelled local/synthetic in future builds."
"DOMINO","mcd_dtls","PERIOD_END_DATE","Date","2020-01-23 to 2022-07-26","","PERIOD_END_DATE","Event end date","direct_plida_dataset_variable","domino_aristotle_dataset_context_public_code_table_not_found","https://www.abs.gov.au/statistics/data-integration/integrated-data/person-level-integrated-data-asset-plida/plida-data-and-legislation | https://www.dss.gov.au/doing-business-us/corporate-policies/metadata-research-datasets | https://dss.aristotlecloud.io/item/1942/dataset/domino-external-analytical-version | https://dex.dss.gov.au/policy | https://dex.dss.gov.au/sites/default/files/documents/2023-03/1931-data-exchange-protocols.pdf | https://dex.dss.gov.au/sites/default/files/documents/2025-09/2646-2536-chsp-dex-protocols.pdf","DSS confirms DOMINO as longitudinal social-security administrative data and points users to Aristotle metadata; the public dataset entry supports dataset context, but this pass did not locate public variable-level pages proving generated DOMINO code values.","Observed date range is synthetic generated-output evidence unless an official source is attached separately.","Find a public variable/code-table source or keep this row labelled local/synthetic in future builds."
"DOMINO","mcd_dtls","PERIOD_START_DATE","Date","2019-09-06 to 2021-08-09","","PERIOD_START_DATE","Event start date","direct_plida_dataset_variable","domino_aristotle_dataset_context_public_code_table_not_found","https://www.abs.gov.au/statistics/data-integration/integrated-data/person-level-integrated-data-asset-plida/plida-data-and-legislation | https://www.dss.gov.au/doing-business-us/corporate-policies/metadata-research-datasets | https://dss.aristotlecloud.io/item/1942/dataset/domino-external-analytical-version | https://dex.dss.gov.au/policy | https://dex.dss.gov.au/sites/default/files/documents/2023-03/1931-data-exchange-protocols.pdf | https://dex.dss.gov.au/sites/default/files/documents/2025-09/2646-2536-chsp-dex-protocols.pdf","DSS confirms DOMINO as longitudinal social-security administrative data and points users to Aristotle metadata; the public dataset entry supports dataset context, but this pass did not locate public variable-level pages proving generated DOMINO code values.","Observed date range is synthetic generated-output evidence unless an official source is attached separately.","Find a public variable/code-table source or keep this row labelled local/synthetic in future builds."
"DOMINO","mcd_dtls","RFRL_RSN_CODE","character","MED=19; WCA=14; RVW=8; OTH=7","MED; WCA; RVW; OTH","RFRL_RSN_CODE","Referral reason code","direct_plida_dataset_variable","domino_aristotle_dataset_context_public_code_table_not_found","https://www.abs.gov.au/statistics/data-integration/integrated-data/person-level-integrated-data-asset-plida/plida-data-and-legislation | https://www.dss.gov.au/doing-business-us/corporate-policies/metadata-research-datasets | https://dss.aristotlecloud.io/item/1942/dataset/domino-external-analytical-version | https://dex.dss.gov.au/policy | https://dex.dss.gov.au/sites/default/files/documents/2023-03/1931-data-exchange-protocols.pdf | https://dex.dss.gov.au/sites/default/files/documents/2025-09/2646-2536-chsp-dex-protocols.pdf","DSS confirms DOMINO as longitudinal social-security administrative data and points users to Aristotle metadata; the public dataset entry supports dataset context, but this pass did not locate public variable-level pages proving generated DOMINO code values.","Observed values are the current fplida generated domain; source equivalence depends on the evidence status.","Find a public variable/code-table source or keep this row labelled local/synthetic in future builds."
"DOMINO","mcd_dtls","SYNTHETIC_AEUID","character","75FF80000008=1; 75FF8000000C=1; 75FF80000109=1; 75FF800001E3=1; 75FF80000207=1; 75FF8000020C=1; 75FF800002B0=1; 75FF80000341=1; 75FF800003C9=1; 75FF800003E1=1; 75FF80000477=1; 75FF80000534=1","75FF80000008; 75FF8000000C; 75FF80000109; 75FF800001E3; 75FF80000207; 75FF8000020C; 75FF800002B0; 75FF80000341; 75FF800003C9; 75FF800003E1; 75FF80000477; 75FF80000534; 75FF8000053B; 75FF800005EB; 75FF80000687; 75FF80000736; 75FF800007A2; 75FF8000081B; 75FF8000089F; 75FF800008B8; 75FF800008E0; 75FF80000938; 75FF80000944; 75FF800009DB; 75FF80000A3E; 75FF80000AF8; 75FF80000B75; 75FF80000C52; 75FF80000CC7; 75FF80000D17","SYNTHETIC_AEUID","Synthetic MADIP Person ID","direct_plida_dataset_variable","local_identifier_not_public_source_variable","https://www.abs.gov.au/statistics/data-integration/integrated-data/person-level-integrated-data-asset-plida/plida-data-and-legislation | https://www.dss.gov.au/doing-business-us/corporate-policies/metadata-research-datasets | https://dss.aristotlecloud.io/item/1942/dataset/domino-external-analytical-version | https://dex.dss.gov.au/policy | https://dex.dss.gov.au/sites/default/files/documents/2023-03/1931-data-exchange-protocols.pdf | https://dex.dss.gov.au/sites/default/files/documents/2025-09/2646-2536-chsp-dex-protocols.pdf","This is a generated package linkage identifier, not an official public DSS code distribution.","Generated identifier shape is observed local output; it is not an official public code distribution.","Keep this as a generated linkage identifier check; do not cite it as a public source variable."
"DOMINO","mcd_dtls","TEMP_LMT_CAP_END_DATE","Date","2020-10-27 to 2022-05-21","2021-11-17; 2022-02-26; 2022-05-21; 2020-10-27; 2021-04-18; 2021-02-16; 2020-11-29; 2021-08-01","TEMP_LMT_CAP_END_DATE","Temporary limited capacity end date","direct_plida_dataset_variable","domino_aristotle_dataset_context_public_code_table_not_found","https://www.abs.gov.au/statistics/data-integration/integrated-data/person-level-integrated-data-asset-plida/plida-data-and-legislation | https://www.dss.gov.au/doing-business-us/corporate-policies/metadata-research-datasets | https://dss.aristotlecloud.io/item/1942/dataset/domino-external-analytical-version | https://dex.dss.gov.au/policy | https://dex.dss.gov.au/sites/default/files/documents/2023-03/1931-data-exchange-protocols.pdf | https://dex.dss.gov.au/sites/default/files/documents/2025-09/2646-2536-chsp-dex-protocols.pdf","DSS confirms DOMINO as longitudinal social-security administrative data and points users to Aristotle metadata; the public dataset entry supports dataset context, but this pass did not locate public variable-level pages proving generated DOMINO code values.","Observed date range is synthetic generated-output evidence unless an official source is attached separately.","Find a public variable/code-table source or keep this row labelled local/synthetic in future builds."
"DOMINO","mcd_dtls","TEMP_LMT_CAP_START_DATE","Date","2020-03-27 to 2021-08-05","2021-04-28; 2021-04-27; 2021-08-05; 2020-04-27; 2020-11-26; 2020-08-01; 2020-03-27; 2020-09-10","TEMP_LMT_CAP_START_DATE","Temporary limited capacity start date","direct_plida_dataset_variable","domino_aristotle_dataset_context_public_code_table_not_found","https://www.abs.gov.au/statistics/data-integration/integrated-data/person-level-integrated-data-asset-plida/plida-data-and-legislation | https://www.dss.gov.au/doing-business-us/corporate-policies/metadata-research-datasets | https://dss.aristotlecloud.io/item/1942/dataset/domino-external-analytical-version | https://dex.dss.gov.au/policy | https://dex.dss.gov.au/sites/default/files/documents/2023-03/1931-data-exchange-protocols.pdf | https://dex.dss.gov.au/sites/default/files/documents/2025-09/2646-2536-chsp-dex-protocols.pdf","DSS confirms DOMINO as longitudinal social-security administrative data and points users to Aristotle metadata; the public dataset entry supports dataset context, but this pass did not locate public variable-level pages proving generated DOMINO code values.","Observed date range is synthetic generated-output evidence unless an official source is attached separately.","Find a public variable/code-table source or keep this row labelled local/synthetic in future builds."
"DOMINO","mcd_dtls","TEMP_REDN_CAP_END_DATE","Date","2020-10-27 to 2022-05-21","2021-11-17; 2022-02-26; 2022-05-21; 2020-10-27; 2021-04-18; 2021-02-16; 2020-11-29; 2021-08-01","TEMP_REDN_CAP_END_DATE","Temporary reduced capacity end date","direct_plida_dataset_variable","domino_aristotle_dataset_context_public_code_table_not_found","https://www.abs.gov.au/statistics/data-integration/integrated-data/person-level-integrated-data-asset-plida/plida-data-and-legislation | https://www.dss.gov.au/doing-business-us/corporate-policies/metadata-research-datasets | https://dss.aristotlecloud.io/item/1942/dataset/domino-external-analytical-version | https://dex.dss.gov.au/policy | https://dex.dss.gov.au/sites/default/files/documents/2023-03/1931-data-exchange-protocols.pdf | https://dex.dss.gov.au/sites/default/files/documents/2025-09/2646-2536-chsp-dex-protocols.pdf","DSS confirms DOMINO as longitudinal social-security administrative data and points users to Aristotle metadata; the public dataset entry supports dataset context, but this pass did not locate public variable-level pages proving generated DOMINO code values.","Observed date range is synthetic generated-output evidence unless an official source is attached separately.","Find a public variable/code-table source or keep this row labelled local/synthetic in future builds."
"DOMINO","mcd_dtls","TEMP_REDN_CAP_HRS_NUM","integer","9.0 / 10.0 / 15.5 / 19.5 / 22.0","10; 13; 18; 19; 21; 22; 9","TEMP_REDN_CAP_HRS_NUM","Temporary reduced capacity hours number","direct_plida_dataset_variable","domino_aristotle_dataset_context_public_code_table_not_found","https://www.abs.gov.au/statistics/data-integration/integrated-data/person-level-integrated-data-asset-plida/plida-data-and-legislation | https://www.dss.gov.au/doing-business-us/corporate-policies/metadata-research-datasets | https://dss.aristotlecloud.io/item/1942/dataset/domino-external-analytical-version | https://dex.dss.gov.au/policy | https://dex.dss.gov.au/sites/default/files/documents/2023-03/1931-data-exchange-protocols.pdf | https://dex.dss.gov.au/sites/default/files/documents/2025-09/2646-2536-chsp-dex-protocols.pdf","DSS confirms DOMINO as longitudinal social-security administrative data and points users to Aristotle metadata; the public dataset entry supports dataset context, but this pass did not locate public variable-level pages proving generated DOMINO code values.","Observed values are the current fplida generated domain; source equivalence depends on the evidence status.","Find a public variable/code-table source or keep this row labelled local/synthetic in future builds."
"DOMINO","mcd_dtls","WITH_INTRVN_NUM","integer","0.00 / 3.00 / 7.00 / 23.25 / 33.00","","WITH_INTRVN_NUM","With intervention number","direct_plida_dataset_variable","domino_aristotle_dataset_context_public_code_table_not_found","https://www.abs.gov.au/statistics/data-integration/integrated-data/person-level-integrated-data-asset-plida/plida-data-and-legislation | https://www.dss.gov.au/doing-business-us/corporate-policies/metadata-research-datasets | https://dss.aristotlecloud.io/item/1942/dataset/domino-external-analytical-version | https://dex.dss.gov.au/policy | https://dex.dss.gov.au/sites/default/files/documents/2023-03/1931-data-exchange-protocols.pdf | https://dex.dss.gov.au/sites/default/files/documents/2025-09/2646-2536-chsp-dex-protocols.pdf","DSS confirms DOMINO as longitudinal social-security administrative data and points users to Aristotle metadata; the public dataset entry supports dataset context, but this pass did not locate public variable-level pages proving generated DOMINO code values.","Observed quantiles/ranges are synthetic generated-output evidence, not an official distribution.","Find a public variable/code-table source or keep this row labelled local/synthetic in future builds."
"DOMINO","pyh_combined_age","BEN_TYPE","character","AGE=583","AGE","BEN_TYPE","Recipient benefit type code","direct_plida_dataset_variable","domino_aristotle_dataset_context_public_code_table_not_found","https://www.abs.gov.au/statistics/data-integration/integrated-data/person-level-integrated-data-asset-plida/plida-data-and-legislation | https://www.dss.gov.au/doing-business-us/corporate-policies/metadata-research-datasets | https://dss.aristotlecloud.io/item/1942/dataset/domino-external-analytical-version | https://dex.dss.gov.au/policy | https://dex.dss.gov.au/sites/default/files/documents/2023-03/1931-data-exchange-protocols.pdf | https://dex.dss.gov.au/sites/default/files/documents/2025-09/2646-2536-chsp-dex-protocols.pdf","DSS confirms DOMINO as longitudinal social-security administrative data and points users to Aristotle metadata; the public dataset entry supports dataset context, but this pass did not locate public variable-level pages proving generated DOMINO code values.","Observed values are the current fplida generated domain; source equivalence depends on the evidence status.","Find a public variable/code-table source or keep this row labelled local/synthetic in future builds."
"DOMINO","pyh_combined_age","CMPNT_DLY_AMT","numeric","65.29 / 66.95 / 68.86 / 70.47 / 73.42","","CMPNT_DLY_AMT","Component daily amount","direct_plida_dataset_variable","domino_aristotle_dataset_context_public_code_table_not_found","https://www.abs.gov.au/statistics/data-integration/integrated-data/person-level-integrated-data-asset-plida/plida-data-and-legislation | https://www.dss.gov.au/doing-business-us/corporate-policies/metadata-research-datasets | https://dss.aristotlecloud.io/item/1942/dataset/domino-external-analytical-version | https://dex.dss.gov.au/policy | https://dex.dss.gov.au/sites/default/files/documents/2023-03/1931-data-exchange-protocols.pdf | https://dex.dss.gov.au/sites/default/files/documents/2025-09/2646-2536-chsp-dex-protocols.pdf","DSS confirms DOMINO as longitudinal social-security administrative data and points users to Aristotle metadata; the public dataset entry supports dataset context, but this pass did not locate public variable-level pages proving generated DOMINO code values.","Observed quantiles/ranges are synthetic generated-output evidence, not an official distribution.","Find a public variable/code-table source or keep this row labelled local/synthetic in future builds."
"DOMINO","pyh_combined_age","CMPNT_ID","character","C00000001=1; C00000007=1; C00000009=1; C00000010=1; C00000013=1; C00000014=1; C00000017=1; C00000022=1; C00000024=1; C00000025=1; C00000028=1; C00000034=1","C00000001; C00000007; C00000009; C00000010; C00000013; C00000014; C00000017; C00000022; C00000024; C00000025; C00000028; C00000034; C00000035; C00000038; C00000040; C00000044; C00000046; C00000051; C00000053; C00000055; C00000056; C00000057; C00000060; C00000061; C00000063; C00000064; C00000065; C00000074; C00000077; C00000078","CMPNT_ID","Payment component id","direct_plida_dataset_variable","domino_aristotle_dataset_context_public_code_table_not_found","https://www.abs.gov.au/statistics/data-integration/integrated-data/person-level-integrated-data-asset-plida/plida-data-and-legislation | https://www.dss.gov.au/doing-business-us/corporate-policies/metadata-research-datasets | https://dss.aristotlecloud.io/item/1942/dataset/domino-external-analytical-version | https://dex.dss.gov.au/policy | https://dex.dss.gov.au/sites/default/files/documents/2023-03/1931-data-exchange-protocols.pdf | https://dex.dss.gov.au/sites/default/files/documents/2025-09/2646-2536-chsp-dex-protocols.pdf","DSS confirms DOMINO as longitudinal social-security administrative data and points users to Aristotle metadata; the public dataset entry supports dataset context, but this pass did not locate public variable-level pages proving generated DOMINO code values.","Observed values are the current fplida generated domain; source equivalence depends on the evidence status.","Find a public variable/code-table source or keep this row labelled local/synthetic in future builds."
"DOMINO","pyh_combined_age","CMPNT_TYPE","character","BASIC=583","BASIC","CMPNT_TYPE","Component type code","direct_plida_dataset_variable","domino_aristotle_dataset_context_public_code_table_not_found","https://www.abs.gov.au/statistics/data-integration/integrated-data/person-level-integrated-data-asset-plida/plida-data-and-legislation | https://www.dss.gov.au/doing-business-us/corporate-policies/metadata-research-datasets | https://dss.aristotlecloud.io/item/1942/dataset/domino-external-analytical-version | https://dex.dss.gov.au/policy | https://dex.dss.gov.au/sites/default/files/documents/2023-03/1931-data-exchange-protocols.pdf | https://dex.dss.gov.au/sites/default/files/documents/2025-09/2646-2536-chsp-dex-protocols.pdf","DSS confirms DOMINO as longitudinal social-security administrative data and points users to Aristotle metadata; the public dataset entry supports dataset context, but this pass did not locate public variable-level pages proving generated DOMINO code values.","Observed values are the current fplida generated domain; source equivalence depends on the evidence status.","Find a public variable/code-table source or keep this row labelled local/synthetic in future builds."
"DOMINO","pyh_combined_age","PERIOD_END_DATE","Date","2020-02-22 to 2021-12-19","","PERIOD_END_DATE","Event end date","direct_plida_dataset_variable","domino_aristotle_dataset_context_public_code_table_not_found","https://www.abs.gov.au/statistics/data-integration/integrated-data/person-level-integrated-data-asset-plida/plida-data-and-legislation | https://www.dss.gov.au/doing-business-us/corporate-policies/metadata-research-datasets | https://dss.aristotlecloud.io/item/1942/dataset/domino-external-analytical-version | https://dex.dss.gov.au/policy | https://dex.dss.gov.au/sites/default/files/documents/2023-03/1931-data-exchange-protocols.pdf | https://dex.dss.gov.au/sites/default/files/documents/2025-09/2646-2536-chsp-dex-protocols.pdf","DSS confirms DOMINO as longitudinal social-security administrative data and points users to Aristotle metadata; the public dataset entry supports dataset context, but this pass did not locate public variable-level pages proving generated DOMINO code values.","Observed date range is synthetic generated-output evidence unless an official source is attached separately.","Find a public variable/code-table source or keep this row labelled local/synthetic in future builds."
"DOMINO","pyh_combined_age","PERIOD_START_DATE","Date","2020-01-01 to 2021-12-26","","PERIOD_START_DATE","Event start date","direct_plida_dataset_variable","domino_aristotle_dataset_context_public_code_table_not_found","https://www.abs.gov.au/statistics/data-integration/integrated-data/person-level-integrated-data-asset-plida/plida-data-and-legislation | https://www.dss.gov.au/doing-business-us/corporate-policies/metadata-research-datasets | https://dss.aristotlecloud.io/item/1942/dataset/domino-external-analytical-version | https://dex.dss.gov.au/policy | https://dex.dss.gov.au/sites/default/files/documents/2023-03/1931-data-exchange-protocols.pdf | https://dex.dss.gov.au/sites/default/files/documents/2025-09/2646-2536-chsp-dex-protocols.pdf","DSS confirms DOMINO as longitudinal social-security administrative data and points users to Aristotle metadata; the public dataset entry supports dataset context, but this pass did not locate public variable-level pages proving generated DOMINO code values.","Observed date range is synthetic generated-output evidence unless an official source is attached separately.","Find a public variable/code-table source or keep this row labelled local/synthetic in future builds."
"DOMINO","pyh_combined_age","PYH_SOURCE","character","CLK=583","CLK","PYH_SOURCE","Payment source","direct_plida_dataset_variable","domino_aristotle_dataset_context_public_code_table_not_found","https://www.abs.gov.au/statistics/data-integration/integrated-data/person-level-integrated-data-asset-plida/plida-data-and-legislation | https://www.dss.gov.au/doing-business-us/corporate-policies/metadata-research-datasets | https://dss.aristotlecloud.io/item/1942/dataset/domino-external-analytical-version | https://dex.dss.gov.au/policy | https://dex.dss.gov.au/sites/default/files/documents/2023-03/1931-data-exchange-protocols.pdf | https://dex.dss.gov.au/sites/default/files/documents/2025-09/2646-2536-chsp-dex-protocols.pdf","DSS confirms DOMINO as longitudinal social-security administrative data and points users to Aristotle metadata; the public dataset entry supports dataset context, but this pass did not locate public variable-level pages proving generated DOMINO code values.","Observed values are the current fplida generated domain; source equivalence depends on the evidence status.","Find a public variable/code-table source or keep this row labelled local/synthetic in future builds."
"DOMINO","pyh_combined_age","SYNTHETIC_AEUID","character","75FF80000002=1; 75FF80000019=1; 75FF80000020=1; 75FF80000021=1; 75FF80000029=1; 75FF8000002D=1; 75FF80000038=1; 75FF80000043=1; 75FF80000051=1; 75FF80000058=1; 75FF80000061=1; 75FF8000006E=1","75FF80000002; 75FF80000019; 75FF80000020; 75FF80000021; 75FF80000029; 75FF8000002D; 75FF80000038; 75FF80000043; 75FF80000051; 75FF80000058; 75FF80000061; 75FF8000006E; 75FF80000070; 75FF8000007F; 75FF80000087; 75FF80000090; 75FF80000097; 75FF800000AB; 75FF800000BB; 75FF800000C5; 75FF800000C8; 75FF800000CD; 75FF800000D5; 75FF800000DA; 75FF800000E4; 75FF800000ED; 75FF800000F0; 75FF80000110; 75FF8000011B; 75FF8000011C","SYNTHETIC_AEUID","Synthetic MADIP Person ID","direct_plida_dataset_variable","local_identifier_not_public_source_variable","https://www.abs.gov.au/statistics/data-integration/integrated-data/person-level-integrated-data-asset-plida/plida-data-and-legislation | https://www.dss.gov.au/doing-business-us/corporate-policies/metadata-research-datasets | https://dss.aristotlecloud.io/item/1942/dataset/domino-external-analytical-version | https://dex.dss.gov.au/policy | https://dex.dss.gov.au/sites/default/files/documents/2023-03/1931-data-exchange-protocols.pdf | https://dex.dss.gov.au/sites/default/files/documents/2025-09/2646-2536-chsp-dex-protocols.pdf","This is a generated package linkage identifier, not an official public DSS code distribution.","Generated identifier shape is observed local output; it is not an official public code distribution.","Keep this as a generated linkage identifier check; do not cite it as a public source variable."
"DOMINO","pyh_combined_dis","BEN_TYPE","character","DSP=42; CAR=6; CDA=3","DSP; CAR; CDA","BEN_TYPE","Recipient benefit type code","direct_plida_dataset_variable","domino_aristotle_dataset_context_public_code_table_not_found","https://www.abs.gov.au/statistics/data-integration/integrated-data/person-level-integrated-data-asset-plida/plida-data-and-legislation | https://www.dss.gov.au/doing-business-us/corporate-policies/metadata-research-datasets | https://dss.aristotlecloud.io/item/1942/dataset/domino-external-analytical-version | https://dex.dss.gov.au/policy | https://dex.dss.gov.au/sites/default/files/documents/2023-03/1931-data-exchange-protocols.pdf | https://dex.dss.gov.au/sites/default/files/documents/2025-09/2646-2536-chsp-dex-protocols.pdf","DSS confirms DOMINO as longitudinal social-security administrative data and points users to Aristotle metadata; the public dataset entry supports dataset context, but this pass did not locate public variable-level pages proving generated DOMINO code values.","Observed values are the current fplida generated domain; source equivalence depends on the evidence status.","Find a public variable/code-table source or keep this row labelled local/synthetic in future builds."
"DOMINO","pyh_combined_dis","CMPNT_DLY_AMT","numeric","9.130 / 64.805 / 66.670 / 67.985 / 70.920","","CMPNT_DLY_AMT","Component daily amount","direct_plida_dataset_variable","domino_aristotle_dataset_context_public_code_table_not_found","https://www.abs.gov.au/statistics/data-integration/integrated-data/person-level-integrated-data-asset-plida/plida-data-and-legislation | https://www.dss.gov.au/doing-business-us/corporate-policies/metadata-research-datasets | https://dss.aristotlecloud.io/item/1942/dataset/domino-external-analytical-version | https://dex.dss.gov.au/policy | https://dex.dss.gov.au/sites/default/files/documents/2023-03/1931-data-exchange-protocols.pdf | https://dex.dss.gov.au/sites/default/files/documents/2025-09/2646-2536-chsp-dex-protocols.pdf","DSS confirms DOMINO as longitudinal social-security administrative data and points users to Aristotle metadata; the public dataset entry supports dataset context, but this pass did not locate public variable-level pages proving generated DOMINO code values.","Observed quantiles/ranges are synthetic generated-output evidence, not an official distribution.","Find a public variable/code-table source or keep this row labelled local/synthetic in future builds."
"DOMINO","pyh_combined_dis","CMPNT_ID","character","C00000004=1; C00000005=1; C00000073=1; C00000133=1; C00000144=1; C00000146=1; C00000197=1; C00000239=1; C00000277=1; C00000279=1; C00000326=1; C00000378=1","C00000004; C00000005; C00000073; C00000133; C00000144; C00000146; C00000197; C00000239; C00000277; C00000279; C00000326; C00000378; C00000381; C00000429; C00000481; C00000495; C00000536; C00000574; C00000607; C00000651; C00000662; C00000680; C00000701; C00000705; C00000742; C00000770; C00000825; C00000858; C00000921; C00000948","CMPNT_ID","Payment component id","direct_plida_dataset_variable","domino_aristotle_dataset_context_public_code_table_not_found","https://www.abs.gov.au/statistics/data-integration/integrated-data/person-level-integrated-data-asset-plida/plida-data-and-legislation | https://www.dss.gov.au/doing-business-us/corporate-policies/metadata-research-datasets | https://dss.aristotlecloud.io/item/1942/dataset/domino-external-analytical-version | https://dex.dss.gov.au/policy | https://dex.dss.gov.au/sites/default/files/documents/2023-03/1931-data-exchange-protocols.pdf | https://dex.dss.gov.au/sites/default/files/documents/2025-09/2646-2536-chsp-dex-protocols.pdf","DSS confirms DOMINO as longitudinal social-security administrative data and points users to Aristotle metadata; the public dataset entry supports dataset context, but this pass did not locate public variable-level pages proving generated DOMINO code values.","Observed values are the current fplida generated domain; source equivalence depends on the evidence status.","Find a public variable/code-table source or keep this row labelled local/synthetic in future builds."
